GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SESEditor,odme.odmeeditor,ScenarioList.new ActionListener() {...},55,0,4,0,12,0,4,0,2,0
SESEditor,odme.odmeeditor,BehaviourList,308,0,14,0,70,0,12,0,5,0
SESEditor,odme.odmeeditor,DynamicTree.new MouseMotionAdapter() {...},38,0,2,0,8,0,3,0,2,0
SESEditor,odme.odmeeditor,ODDManager,1065,0,86,0,245,0,79,0,35,0
SESEditor,odme.odmeeditor,About,188,0,2,0,42,0,3,0,2,0
SESEditor,odme.odmeeditor,ODMEEditor,853,0,40,0,210,0,35,0,15,0
SESEditor,odme.odmeeditor,ImportProject,776,0,24,0,162,0,17,0,5,0
SESEditor,odme.odmeeditor,ScenarioList.new MouseAdapter() {...},47,0,2,0,9,0,3,0,2,0
SESEditor,odme.odmeeditor,ScenarioList,632,0,28,0,143,0,21,0,7,0
SESEditor,odme.odmeeditor,Console,150,0,10,0,44,0,8,0,3,0
SESEditor,odme.odmeeditor,GraphWindow,8,0,0,0,2,0,1,0,1,0
SESEditor,odme.odmeeditor,ODDListView,140,0,8,0,31,0,8,0,4,0
SESEditor,odme.odmeeditor,XMLViewer,46,0,0,0,10,0,1,0,1,0
SESEditor,odme.odmeeditor,ProjectTree.new MouseMotionAdapter() {...},46,0,2,0,10,0,3,0,2,0
SESEditor,odme.odmeeditor,Variable.new KeyListener() {...},32,0,0,0,5,0,4,0,4,0
SESEditor,odme.odmeeditor,Variable,1454,0,214,0,256,0,119,0,12,0
SESEditor,odme.odmeeditor,ToolBar,331,0,8,0,84,0,19,0,15,0
SESEditor,odme.odmeeditor,Variable.new KeyListener() {...},32,0,0,0,5,0,4,0,4,0
SESEditor,odme.odmeeditor,Variable.new ItemListener() {...},39,0,2,0,4,0,3,0,2,0
SESEditor,odme.odmeeditor,Variable.new MouseAdapter() {...},82,0,4,0,15,0,4,0,2,0
SESEditor,odme.odmeeditor,PanelSplitor.new PropertyChangeListener() {...},12,0,0,0,3,0,2,0,2,0
SESEditor,odme.odmeeditor,SplashScreen,213,0,4,0,54,0,9,0,7,0
SESEditor,odme.odmeeditor,BehaviourList.new MouseAdapter() {...},41,0,2,0,12,0,3,0,2,0
SESEditor,odme.odmeeditor,PanelSplitor,107,0,0,0,20,0,5,0,5,0
SESEditor,odme.odmeeditor,ImportProject.new KeyListener() {...},42,0,4,0,10,0,6,0,4,0
SESEditor,odme.odmeeditor,ImportProject.new ItemListener() {...},52,0,2,0,11,0,3,0,2,0
SESEditor,odme.odmeeditor,EditableDataModel,130,0,26,0,35,0,19,0,5,0
SESEditor,odme.odmeeditor,ODMEEditor.new ActionListener() {...},55,0,2,0,26,0,3,0,2,0
SESEditor,odme.odmeeditor,Main,168,0,6,0,48,0,7,0,4,0
SESEditor,odme.odmeeditor,ODMEEditor.new ChangeListener() {...},78,0,8,0,29,0,6,0,2,0
SESEditor,odme.odmeeditor,MenuBar.new ActionListener() {...},80,0,15,0,32,0,16,0,2,0
SESEditor,odme.odmeeditor,Variable.new KeyListener() {...},32,0,0,0,5,0,4,0,4,0
SESEditor,odme.odmeeditor,Variable.new KeyListener() {...},32,0,0,0,5,0,4,0,4,0
SESEditor,odme.odmeeditor,ProjectTree,468,0,38,0,112,0,30,0,11,0
SESEditor,odme.odmeeditor,ImportProject.new ActionListener() {...},10,0,0,0,3,0,2,0,2,0
SESEditor,odme.odmeeditor,ImportProject.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
SESEditor,odme.odmeeditor,ImportProject.new ActionListener() {...},52,0,2,0,12,0,3,0,2,0
SESEditor,odme.odmeeditor,ImportProject.new ActionListener() {...},40,0,2,0,11,0,3,0,2,0
SESEditor,odme.odmeeditor,NewProject.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
SESEditor,odme.odmeeditor,NewProject.new KeyListener() {...},42,0,2,0,9,0,5,0,4,0
SESEditor,odme.odmeeditor,NewProject.new ActionListener() {...},14,0,0,0,4,0,2,0,2,0
SESEditor,odme.odmeeditor,Constraint,191,0,10,0,44,0,10,0,5,0
SESEditor,odme.odmeeditor,NewProject.new ItemListener() {...},52,0,2,0,11,0,3,0,2,0
SESEditor,odme.odmeeditor,NewProject.new ActionListener() {...},10,0,0,0,3,0,2,0,2,0
SESEditor,odme.odmeeditor,NewProject.new KeyListener() {...},42,0,4,0,10,0,6,0,4,0
SESEditor,odme.odmeeditor,Constraint.new MouseAdapter() {...},33,0,2,0,8,0,3,0,2,0
SESEditor,odme.odmeeditor,PanelSplitor.1.new Runnable() {...},13,0,0,0,3,0,2,0,2,0
SESEditor,odme.odmeeditor,NewProject,592,0,2,0,115,0,6,0,5,0
SESEditor,odme.odmeeditor,DynamicTree,1379,0,112,0,336,0,80,0,24,0
SESEditor,odme.odmeeditor,ProjectTree.ProjectTreeModelListener,25,0,0,0,8,0,5,0,5,0
SESEditor,odme.odmeeditor,ODDManager.new ActionListener() {...},10,0,0,0,3,0,2,0,2,0
SESEditor,odme.odmeeditor,ODDManager.new ActionListener() {...},10,0,0,0,3,0,2,0,2,0
SESEditor,odme.odmeeditor,DynamicTree.MyTreeModelListener,25,0,0,0,8,0,5,0,5,0
SESEditor,odme.odmeeditor,ODDListView.new ListSelectionListener() {...},27,0,4,0,5,0,4,0,2,0
SESEditor,odme.odmeeditor,ToolBar.new ActionListener() {...},13,0,0,0,4,0,2,0,2,0
SESEditor,odme.odmeeditor,ToolBar.new ActionListener() {...},63,0,13,0,26,0,14,0,2,0
SESEditor,odme.odmeeditor,Console.new KeyListener() {...},13,0,0,0,5,0,4,0,4,0
SESEditor,odme.odmeeditor,XmlUtils,173,0,8,0,50,0,10,0,6,0
SESEditor,odme.odmeeditor,MenuBar,1389,0,50,0,243,0,39,0,14,0
SESEditor,odme.odmeeditor,ODDManager.new ActionListener() {...},10,0,0,0,3,0,2,0,2,0
SESEditor,odme.odmeeditor,ODDManager.new ActionListener() {...},10,0,0,0,3,0,2,0,2,0
SESEditor,xml.schema,TypeInfoWriter,631,0,60,0,228,0,46,0,16,0
SESEditor,odeme.behaviour,ToolBarBehaviour,256,0,6,0,60,0,18,0,15,0
SESEditor,odeme.behaviour,MainWindow,44,0,0,0,12,0,1,0,1,0
SESEditor,odeme.behaviour,PanelSplitor,51,0,0,0,13,0,5,0,5,0
SESEditor,odeme.behaviour,MenuBarBehaviour,136,0,0,0,15,0,3,0,3,0
SESEditor,odeme.behaviour,BehaviourToTree.MyTreeModelListener,25,0,0,0,8,0,5,0,5,0
SESEditor,odeme.behaviour,ToolBarBehaviour.new ActionListener() {...},68,0,13,0,27,0,14,0,2,0
SESEditor,odeme.behaviour,Behaviour.new MouseAdapter() {...},37,6,2,0,9,1,2,1,1,1
SESEditor,odeme.behaviour,BehaviourToTree,408,0,24,0,91,0,25,0,13,0
SESEditor,odeme.behaviour,Behaviour,45,170,2,8,12,34,2,8,1,4
SESEditor,odeme.behaviour,PanelSplitor.1.new Runnable() {...},13,0,0,0,3,0,2,0,2,0
SESEditor,odeme.behaviour,PanelSplitor.new PropertyChangeListener() {...},12,0,0,0,3,0,2,0,2,0
SESEditor,odeme.behaviour,ODMEBehaviourEditor,80,0,0,0,25,0,3,0,3,0
